 , , , , , , 
Apiary Statistics for 2xWeek "0" 
 , , , , , , 
 , , , , , , 
Parameters, Queen, Worker01, Worker02, Worker03, Worker04, Worker05
 , , , , , , 
'ID Tags Requested', '0 - 49', '50 - 99', '100 - 149', '150 - 199', '200 - 249', '250 - 299'
IDs tagged in the field, ND, ND, ND, ND, ND, ND
 , , , , , , 
'Percentage of ID detected (%) ', 78.0, 84.0, 0.0, 0.0, 36.0, 42.0
'Total number of Detections ', 96674, 119633, 0, 0, 16960, 37365
'Total number of events ', 1437, 2646, 0, 0, 386, 755
'Total average number of detections per event ', 67.27, 67.27, 67.27, 67.27, 67.27, 67.27
 , , , , , , 
'Total number of "enter" events ', 229, 400, 0, 0, 52, 65
'Total percent of "enter" events (%) ', 15.94, 15.12, 0, 0, 13.47, 8.61
'Total number of "exit" events ', 133, 253, 0, 0, 26, 55
'Total percent of "exit" events (%) ', 9.26, 9.56, 0, 0, 6.74, 7.28
'Total number of "unknown" events ', 1075, 1993, 0, 0, 308, 635
'Total percent of "unknown" events (%) ', 74.81, 75.32, 0, 0, 79.79, 84.11
'Total Average Event Time (hh:mm:ss) ', '0:00:33', '0:00:27', '0:00:00', '0:00:00', '0:00:33', '0:00:30'
'Total Average Event Time Std Dev (hh:mm:ss) ', '0:01:07', '0:00:53', '0:00:00', '0:00:00', '0:01:26', '0:00:58'
 , , , , , , 
'Total number of trips ', 23, 41, 0, 0, 4, 13
'Total percentage of events used for Trips (%) ', 3.2, 3.1, 0, 0, 2.07, 3.44
'Total Average Trip Time (hh:mm:ss) ', '0:13:55', '0:15:20', '0:15:20', '0:15:20', '0:15:19', '0:15:05'
'Total Average Trip Time Std Dev (hh:mm:ss)', '0:16:06', '0:28:12', '0:28:12', '0:28:12', '0:27:29', '0:25:36'
