 , , , , , , 
Statistics for "queen" 
 , , , , , , 
Data period for processing 
Initial date (mm/dd/yy  hh:mm:ss) , 04/11/2024  00:00:00 
Final date (mm/dd/yy  hh:mm:ss) , 05/07/2024  13:27:43 
Total time (days hh:mm:ss) , 26 days  13:27:43 
 , , , , , , 
 , , , , , , 
Parameters, queen 
 , , , , , , 
'ID Tags Requested', '6000 - 6099'
IDs tagged in the field, ND
 , , , , , , 
'Percentage of ID detected (%) ', 54.0
'Total number of Detections ', 748
'Total number of events ', 176
'Total average number of detections per event ', 4.25
 , , , , , , 
'Total number of "enter" events ', 43
'Total percent of "enter" events (%) ', 24.43
'Total number of "exit" events ', 26
'Total percent of "exit" events (%) ', 14.77
'Total number of "unknown" events ', 107
'Total percent of "unknown" events (%) ', 60.8
'Total Average Event Time (hh:mm:ss) ', '0:00:04'
'Total Average Event Time Std Dev (hh:mm:ss) ', '0:00:11'
 , , , , , , 
'Total number of trips ', 10
'Total percentage of events used for Trips (%) ', 11.36
'Total Average Trip Time (hh:mm:ss) ', '3:25:55'
'Total Average Trip Time Std Dev (hh:mm:ss)', '7:03:30'
