ID_num,num_of_detections,original_index_start,start_time,original_index_end,end_time,event_type_by_y_location,event_type_by_summed_vector_direction,event_type_by_x_location,event_result,summed_vector_angle_degrees, ,detections_index
90,1,454,2024-04-26 15:04:24,454,2024-04-26 15:04:24,unknown,enter,right_enter,UNKNOWN,31.07508792728365,,454
104,1,249,2024-04-24 12:14:33,249,2024-04-24 12:14:33,unknown,exit,left_exit,UNKNOWN,278.9230259001829,,249
109,1,174,2024-04-20 13:57:58,174,2024-04-20 13:57:58,failed_to_enter,enter,left_exit,UNKNOWN,86.49923068857763,,174
112,1,356,2024-04-26 12:41:13,356,2024-04-26 12:41:13,unknown,enter,left_exit,UNKNOWN,79.37289916391035,,356
112,1,505,2024-04-28 11:38:33,505,2024-04-28 11:38:33,unknown,enter,left_exit,UNKNOWN,72.35418885711121,,505
112,1,584,2024-04-28 17:27:53,584,2024-04-28 17:27:53,failed_to_enter,enter,left_exit,UNKNOWN,55.94059635262165,,584
112,1,604,2024-04-29 09:28:19,604,2024-04-29 09:28:19,unknown,unknown,left_exit,UNKNOWN,0.13534901062377203,,604
112,2,605,2024-04-29 10:02:09,606,2024-04-29 10:02:10,exit,exit,right_enter,EXIT_Wrong_Tunnel!,224.59605789299866,,605, 606
112,1,668,2024-04-29 12:07:59,668,2024-04-29 12:07:59,unknown,exit,left_exit,UNKNOWN,238.07221636591674,,668
112,2,809,2024-04-29 15:40:42,810,2024-04-29 15:40:43,unknown,unknown,unknown,UNKNOWN,349.51949998673103,,809, 810
112,1,854,2024-04-29 17:05:52,854,2024-04-29 17:05:52,unknown,exit,right_enter,UNKNOWN,258.4140669450935,,854
112,3,908,2024-04-29 18:18:34,910,2024-04-29 18:18:35,enter,enter,left_exit,ENTER_Wrong_Tunnel!,85.52462838938098,,908, 909, 910
112,2,955,2024-04-30 10:08:23,956,2024-04-30 10:08:23,unknown,unknown,unknown,UNKNOWN,358.8674641863523,,955, 956
112,7,957,2024-04-30 10:20:21,963,2024-04-30 10:20:33,unknown,exit,unknown,UNKNOWN,304.2709227021328,,957, 958, 959, 960, 961, 962, 963
112,2,983,2024-04-30 11:19:45,984,2024-04-30 11:19:46,enter,enter,left_exit,ENTER_Wrong_Tunnel!,47.1712020293087,,983, 984
112,1,1383,2024-05-01 12:44:49,1383,2024-05-01 12:44:49,failed_to_enter,exit,left_exit,UNKNOWN,217.3975886344427,,1383
112,2,1731,2024-05-02 10:16:24,1732,2024-05-02 10:16:24,unknown,enter,left_exit,UNKNOWN,47.93392548549921,,1731, 1732
112,1,1773,2024-05-02 13:21:11,1773,2024-05-02 13:21:11,unknown,enter,right_enter,UNKNOWN,55.585677151721015,,1773
112,1,1875,2024-05-02 15:49:49,1875,2024-05-02 15:49:49,unknown,exit,left_exit,UNKNOWN,290.34683935851376,,1875
112,1,2085,2024-05-02 18:22:36,2085,2024-05-02 18:22:36,unknown,unknown,right_enter,UNKNOWN,24.520941755635516,,2085
112,7,2154,2024-05-03 10:21:29,2160,2024-05-03 10:22:02,enter,exit,unknown,UNKNOWN,303.27032056100177,,2154, 2155, 2156, 2157, 2158, 2159, 2160
112,1,2164,2024-05-03 11:11:14,2164,2024-05-03 11:11:14,unknown,enter,left_exit,UNKNOWN,50.53227378492098,,2164
112,1,2427,2024-05-05 15:22:18,2427,2024-05-05 15:22:18,unknown,enter,left_exit,UNKNOWN,79.16580791336524,,2427
112,2,2428,2024-05-05 15:25:34,2429,2024-05-05 15:25:34,unknown,unknown,unknown,UNKNOWN,333.90583341656634,,2428, 2429
112,1,2535,2024-05-06 11:46:29,2535,2024-05-06 11:46:29,unknown,unknown,left_exit,UNKNOWN,194.81008316587295,,2535
112,1,2659,2024-05-06 12:32:33,2659,2024-05-06 12:32:33,unknown,exit,left_exit,UNKNOWN,240.36855381222477,,2659
112,1,2738,2024-05-06 13:01:54,2738,2024-05-06 13:01:54,unknown,unknown,left_exit,UNKNOWN,11.228037051959124,,2738
112,1,3014,2024-05-07 10:50:55,3014,2024-05-07 10:50:55,unknown,exit,left_exit,UNKNOWN,247.86658216506845,,3014
112,1,3037,2024-05-07 11:19:29,3037,2024-05-07 11:19:29,failed_to_enter,enter,left_exit,UNKNOWN,79.34367847076501,,3037
112,1,3094,2024-05-07 13:23:14,3094,2024-05-07 13:23:14,unknown,unknown,left_exit,UNKNOWN,28.66473463442936,,3094
116,1,1,2024-04-18 14:33:54,1,2024-04-18 14:33:54,unknown,unknown,right_enter,UNKNOWN,24.64419764359199,,1
116,1,211,2024-04-23 14:59:30,211,2024-04-23 14:59:30,unknown,unknown,left_exit,UNKNOWN,6.374383911460767,,211
116,1,219,2024-04-23 15:51:39,219,2024-04-23 15:51:39,unknown,unknown,right_enter,UNKNOWN,6.609071848156743,,219
116,1,237,2024-04-23 16:21:11,237,2024-04-23 16:21:11,unknown,exit,left_exit,UNKNOWN,324.1284249337413,,237
116,2,238,2024-04-23 16:26:50,239,2024-04-23 16:26:50,unknown,unknown,left_exit,UNKNOWN,185.46238218444574,,238, 239
116,1,241,2024-04-23 17:03:08,241,2024-04-23 17:03:08,unknown,unknown,right_enter,UNKNOWN,11.707294938730124,,241
116,1,284,2024-04-25 13:07:23,284,2024-04-25 13:07:23,failed_to_enter,unknown,left_exit,UNKNOWN,349.2259026981831,,284
116,1,285,2024-04-25 13:44:33,285,2024-04-25 13:44:33,unknown,unknown,right_enter,UNKNOWN,10.7941461830531,,285
116,1,359,2024-04-26 12:57:15,359,2024-04-26 12:57:15,failed_to_enter,unknown,left_exit,UNKNOWN,199.32809121991357,,359
116,1,360,2024-04-26 13:03:33,360,2024-04-26 13:03:33,unknown,exit,left_exit,UNKNOWN,221.23097746733663,,360
116,1,361,2024-04-26 13:28:21,361,2024-04-26 13:28:21,unknown,enter,right_enter,UNKNOWN,30.454635002019163,,361
116,1,539,2024-04-28 14:09:09,539,2024-04-28 14:09:09,failed_to_enter,unknown,right_enter,UNKNOWN,356.768059471062,,539
116,1,543,2024-04-28 14:33:43,543,2024-04-28 14:33:43,unknown,unknown,right_enter,UNKNOWN,16.568894270431215,,543
116,3,580,2024-04-28 16:45:22,582,2024-04-28 16:45:23,enter,unknown,left_exit,UNKNOWN,26.17102566344352,,580, 581, 582
116,3,943,2024-04-30 09:52:26,945,2024-04-30 09:52:27,exit,unknown,unknown,UNKNOWN,165.83526026069717,,943, 944
117,1,0,2024-04-18 13:23:47,0,2024-04-18 13:23:47,unknown,enter,left_exit,UNKNOWN,60.83482371976409,,0
117,1,55,2024-04-18 15:55:16,55,2024-04-18 15:55:16,unknown,unknown,left_exit,UNKNOWN,175.93688992033572,,55
117,2,56,2024-04-18 15:57:07,57,2024-04-18 15:57:07,unknown,enter,left_exit,UNKNOWN,48.03685871653488,,56, 57
117,1,217,2024-04-23 15:19:15,217,2024-04-23 15:19:15,unknown,enter,left_exit,UNKNOWN,46.99278150446484,,217
117,1,243,2024-04-23 17:28:02,243,2024-04-23 17:28:02,failed_to_enter,unknown,left_exit,UNKNOWN,172.10257777131443,,243
117,1,354,2024-04-25 17:19:00,354,2024-04-25 17:19:00,unknown,unknown,left_exit,UNKNOWN,155.24563390234422,,354
117,7,396,2024-04-26 14:36:12,402,2024-04-26 14:36:15,enter,enter,left_exit,ENTER_Wrong_Tunnel!,135.965487225311,,396, 397, 398, 399, 400, 401, 402
117,1,455,2024-04-26 15:08:53,455,2024-04-26 15:08:53,failed_to_enter,exit,left_exit,UNKNOWN,240.96900568943914,,455
117,2,489,2024-04-28 10:53:39,490,2024-04-28 10:53:40,unknown,enter,left_exit,UNKNOWN,69.11669859719946,,489, 490
117,2,560,2024-04-28 15:21:03,561,2024-04-28 15:21:04,exit,unknown,unknown,UNKNOWN,18.530901467590148,,560, 561
117,1,583,2024-04-28 17:06:30,583,2024-04-28 17:06:30,unknown,unknown,left_exit,UNKNOWN,183.33047957580345,,583
117,4,638,2024-04-29 11:35:55,641,2024-04-29 11:35:55,exit,unknown,left_exit,UNKNOWN,182.6418415718807,,638, 639, 640, 641
117,2,702,2024-04-29 13:23:05,703,2024-04-29 13:23:05,unknown,unknown,left_exit,UNKNOWN,340.84899617156117,,702, 703
117,1,753,2024-04-29 14:42:51,753,2024-04-29 14:42:51,unknown,enter,left_exit,UNKNOWN,38.21145048712395,,753
